Dialogue_ID,Topic,Text,Acts,Emotions
2487,Ordinary Life,"[{""role"": ""user"", ""content"": ""I'm looking for a pan I can use in my kitchen .""}, {""role"": ""assistant"", ""content"": ""What size pan were you thinking of ?""}, {""role"": ""user"", ""content"": ""I've already got a small pan . I need a big one .""}, {""role"": ""assistant"", ""content"": ""Well , this one might work for you .""}, {""role"": ""user"", ""content"": ""Oh , no , that's way too heavy a pan for me .""}, {""role"": ""assistant"", ""content"": ""Here , lift this aluminum pan . It's the same size .""}, {""role"": ""user"", ""content"": ""Yes , it's very lightweight . But I don't want this aluminum handle .""}, {""role"": ""assistant"", ""content"": ""Here's a similar aluminum pan . But it has a heat-resistant handle .""}, {""role"": ""user"", ""content"": ""Oh , this feels very nice . It's perfect . I'll take it .""}, {""role"": ""assistant"", ""content"": ""I knew we'd find the right pan sooner or later . How would you like to pay ?""}, {""role"": ""user"", ""content"": ""Cash . But first , I need a lid for this pan .""}, {""role"": ""assistant"", ""content"": ""Oh , no problem . Here's the lid that comes with the pan .""}]","directive, question, inform, directive, commissive, directive, commissive, directive, commissive, question, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, happiness"
2488,Ordinary Life,"[{""role"": ""user"", ""content"": ""Hi there ! I am looking for a new car . I have this old Ford Pinto that I would like to trade in .""}, {""role"": ""assistant"", ""content"": ""I see . You are in luck this month because all of our models are on sale ! it is a perfect time to buy a new car since it ’ s the end of the year .""}, {""role"": ""user"", ""content"": ""Perfect ! I like this one .""}, {""role"": ""assistant"", ""content"": ""That is the Ford Focus . A very light but powerful vehicle . It comes with dual side airbags , power steering and power windows , tinted windows and your choice of either automatic or manual transmission .""}, {""role"": ""user"", ""content"": ""Sounds like a good car ! How many miles to the gallon ?""}, {""role"": ""assistant"", ""content"": ""It is a very fuel efficient vehicle giving you about 34 miles in the city and 40 on the highway .""}, {""role"": ""user"", ""content"": ""That is really convenient . Especially now that fuel prices are so high ! What ’ s under the hood ?""}, {""role"": ""assistant"", ""content"": ""A very powerful 2.5- liter turbocharged engine , Trust me , this car is fast !""}, {""role"": ""user"", ""content"": ""Now for the most difficult question . What is the price tag for this lovely vehicle ?""}, {""role"": ""assistant"", ""content"": ""Very affordable mam . You can take it out of this lot today with 0 % down payment and no interest for the first year ! You can test drive it now and we can sign the papers when we get back .""}, {""role"": ""user"", ""content"": ""Great ! Let ’ s do it !""}]","directive, directive, commissive, inform, question, inform, question, inform, question, inform, directive","no emotion, no emotion, happiness, no emotion, happiness, no emotion, happiness, happiness, no emotion, no emotion, happiness"
2490,Ordinary Life,"[{""role"": ""user"", ""content"": ""Telco Mobile , how can I help you ?""}, {""role"": ""assistant"", ""content"": ""Yes , I ’ d like to activate my voice mail service please .""}, {""role"": ""user"", ""content"": ""Certainly sir , we currently have a special promotion where we include voice mail services , call waiting and also three way calling .""}, {""role"": ""assistant"", ""content"": ""Sure that sounds great ! Are there any other fees ?""}, {""role"": ""user"", ""content"": ""Not at all . No hidden fees or surcharges , it is a flat monthly rate .""}, {""role"": ""assistant"", ""content"": ""Perfect . I also wanted to know if there is any call forwarding service ? I am usually out of town and would like my calls to be forwarded to a local number .""}, {""role"": ""user"", ""content"": ""Yes of course . We can activate all these services in about an hour .""}]","question, directive, commissive, question, inform, question, inform","no emotion, no emotion, no emotion, happiness, no emotion, happiness, happiness"
2491,Ordinary Life,"[{""role"": ""user"", ""content"": ""Do you need help with something ?""}, {""role"": ""assistant"", ""content"": ""I need help finding a new refrigerator .""}, {""role"": ""user"", ""content"": ""Do you see anything that you like ?""}, {""role"": ""assistant"", ""content"": ""That Kenmore looks nice .""}, {""role"": ""user"", ""content"": ""That is a wonderful choice .""}, {""role"": ""assistant"", ""content"": ""What makes is so great ?""}, {""role"": ""user"", ""content"": ""It's very inexpensive , and it has all the appliances .""}, {""role"": ""assistant"", ""content"": ""What appliances are you talking about ?""}, {""role"": ""user"", ""content"": ""The fridge and freezer is very spacious , and it also has an ice maker and water dispenser .""}, {""role"": ""assistant"", ""content"": ""May I take a look inside ?""}, {""role"": ""user"", ""content"": ""Take a look inside .""}, {""role"": ""assistant"", ""content"": ""It's very nice . I'd like to purchase this refrigerator .""}]","question, inform, question, inform, inform, question, inform, question, inform, directive, commissive, directive","no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness"
2493,Ordinary Life,"[{""role"": ""user"", ""content"": ""Hello , sir , what can I do for you today ?""}, {""role"": ""assistant"", ""content"": ""Hello , I need a new suit . I have an important interview next week , so I really need to look sharp .""}, {""role"": ""user"", ""content"": ""No problem ! We have a broad selection of suits , all tailored made so that it will fit perfectly .""}, {""role"": ""assistant"", ""content"": ""Great ! I want a three piece suit , preferably made from Italian cashmere or wool .""}, {""role"": ""user"", ""content"": ""Very well sir . Would you like to have some shirts made also ?""}, {""role"": ""assistant"", ""content"": ""Sure . I ’ ll also take some silver cuff link and a pair of silk ties .""}, {""role"": ""user"", ""content"": ""Very good . Now , if you will accompany me , we can take your measurements and choose the patterns for your suit and shirts .""}]","question, directive, commissive, directive, question, inform, commissive","no emotion, no emotion, happiness, happiness, happiness, happiness, happiness"
2495,Ordinary Life,"[{""role"": ""user"", ""content"": ""Those are today ’ s top stories . Now let ’ s go to John for the weather . John , what does the forecast look like for our weekend travelers ?""}, {""role"": ""assistant"", ""content"": ""I ’ m afraid we ’ re in for a rough weekend , Marry . There is a storm system moving through the East Coast . It will be drizzling all day today , and there ’ s a 60 percent chance of thunderstorms this evening . It will be warm and humid all weekend . In the Midwest , expect strong winds and a low of around 40 degrees .""}, {""role"": ""user"", ""content"": ""That ’ s pretty chilly for the summer ! Will it rain on Saturday ?""}, {""role"": ""assistant"", ""content"": ""Unfortunately , yes . It will be clear early Saturday morning but there is a high chance of showers and thunderstorms later in the day . There is a severe thunderstorm warning for some parts of the Southeast . Folks in those areas might see some hail and flooding , especially in areas that have been experiencing record high rainfalls .""}, {""role"": ""user"", ""content"": ""That certainly sounds like a dreary Saturday .""}, {""role"": ""assistant"", ""content"": ""It gets better on Sunday , though . The storm systems move east and the skies will clear up at night . It will still be rather cool , with highs in the low 50s . The West Coast will be experiencing some unusually chilly weather , but at least the sun will come out . I advise weekend travelers to be careful , especially while driving . Back to you , Mark .""}, {""role"": ""user"", ""content"": ""Thanks John , and there you have it ! Looks like it ’ s a weekend to stay at home !""}]","question, inform, question, inform, inform, inform, inform","no emotion, no emotion, happiness, no emotion, sadness, no emotion, happiness"
2498,Ordinary Life,"[{""role"": ""user"", ""content"": ""Can I help you find something ?""}, {""role"": ""assistant"", ""content"": ""I would like to buy a new fridge .""}, {""role"": ""user"", ""content"": ""Is there one in particular that you like ?""}, {""role"": ""assistant"", ""content"": ""I was looking at this Kenmore refrigerator .""}, {""role"": ""user"", ""content"": ""Ah yes , that is a great refrigerator .""}, {""role"": ""assistant"", ""content"": ""What's so great about it ?""}, {""role"": ""user"", ""content"": ""It's both affordable and it comes with all the appliances .""}, {""role"": ""assistant"", ""content"": ""What appliances ?""}, {""role"": ""user"", ""content"": ""It comes with an ice maker , water dispenser , and there is a lot of room inside .""}, {""role"": ""assistant"", ""content"": ""May I see the inside for myself ?""}, {""role"": ""user"", ""content"": ""Be my guest .""}, {""role"": ""assistant"", ""content"": ""Wow ! You're right ! This refrigerator is great . I'll take it .""}]","question, directive, question, inform, inform, question, inform, question, inform, directive, commissive, directive","no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness"
2500,Ordinary Life,"[{""role"": ""user"", ""content"": ""Good morning , Angela , how have you been lately ?""}, {""role"": ""assistant"", ""content"": ""Morning , Michael . I ’ Ve been very busy lately . One of our other vendors is going out of business and I ’ Ve been searching for a suitable replacement .""}, {""role"": ""user"", ""content"": ""Well , rest assured that you can count on us to be here for the long run , please sit down . Coffee ?""}, {""role"": ""assistant"", ""content"": ""No , thanks . I ’ Ve been trying to cut down on the caffeine .""}, {""role"": ""user"", ""content"": ""Haha , I could never do that . I ’ d be a zombie if I didn ’ t have my morning coffee fix . Let ’ s get down to business then .""}, {""role"": ""assistant"", ""content"": ""Yes . I ’ Ve come to talk with you about ordering the eight megapixel cameras for our new methone . The demand for phone cameras is growing , and Pear has been falling behind in the market .""}, {""role"": ""user"", ""content"": ""That ’ s great ! I ’ m glad to hear that Pear has finally jumped on the bandwagon . Right now our contract is for the five megapixel cameras . Is Pear still interested in having those ?""}, {""role"": ""assistant"", ""content"": ""No , we ’ re changing all the cameras to eight megapixels . We were hoping that by making your company our sole supplier for cameras we could negotiate a better deal .""}, {""role"": ""user"", ""content"": ""Surely . Let ’ s get started by drafting a new contract .""}]","question, inform, question, inform, inform, inform, question, inform, commissive","no emotion, no emotion, no emotion, no emotion, happiness, no emotion, happiness, no emotion, no emotion"
2502,Ordinary Life,"[{""role"": ""user"", ""content"": ""Is everything ready for the big family barbecue tomorrow ?""}, {""role"": ""assistant"", ""content"": ""Yep . The steaks and chicken are marinated and I also bought hamburger buns .""}, {""role"": ""user"", ""content"": ""We should also cook a couple dozen hot dogs and kebabs .""}, {""role"": ""assistant"", ""content"": ""Yeah , good idea.We can put some lawn furniture outside next to the grill . I also set up the tent outside so we can hide from the sun if it gets too hot .""}, {""role"": ""user"", ""content"": ""Great ! I asked Grace to bring cups and serviettes as she is also bringing two big coolers for the beers .""}, {""role"": ""assistant"", ""content"": ""This is gonna be a great barbecue !""}]","question, inform, directive, directive, commissive, inform","no emotion, no emotion, no emotion, happiness, happiness, happiness"
2505,Ordinary Life,"[{""role"": ""user"", ""content"": ""It ’ s freezing in here ! Can I turn up the heat ?""}, {""role"": ""assistant"", ""content"": ""Don ’ t touch that thermostat ! You don ’ t pay the bills around here !""}, {""role"": ""user"", ""content"": ""Dad ! Are you serious ? What ’ s the point of having central heating if we can ’ t use it ! Look , I can see my breath !""}, {""role"": ""assistant"", ""content"": ""Put on a sweater ! I ’ m not gonna let you run up my heating bill just because it ’ s a bit chilly .""}, {""role"": ""user"", ""content"": ""Dad ! I ’ m gonna catch a cold !""}, {""role"": ""assistant"", ""content"": ""When I was your age , my parents didn ’ t have central heating like you do ! We had a furnace in the center of the living room and that was it . We used it to cook , heat the house and even dry our clothes ! We never caught a cold . You should be grateful !""}]","directive, directive, question, directive, commissive, inform","no emotion, anger, surprise, anger, anger, anger"
2508,Ordinary Life,"[{""role"": ""user"", ""content"": ""Hey honey , how was your day ?""}, {""role"": ""assistant"", ""content"": ""It was alright . I ran into Bill and we got to talking for a while . He ’ s in a bit of a jam .""}, {""role"": ""user"", ""content"": ""Why ? What happened ?""}, {""role"": ""assistant"", ""content"": ""Well , his son had an accident and Bill doesn ’ t have health insurance . This really got me thinking , and I wondered if we shouldn ’ t look into a couple of different HMO ’ s .""}, {""role"": ""user"", ""content"": ""Yeah , you ’ re right . We aren ’ t getting any younger and our kids are getting older .""}, {""role"": ""assistant"", ""content"": ""Exactly ! I searched on the web and found a couple of HMO ’ s with low co-pays and good coverage . The deductibles are low , too .""}, {""role"": ""user"", ""content"": ""Sounds good , although , do you think we can qualify for insurance ? Those insurance companies are real pirates when it comes to money .""}, {""role"": ""assistant"", ""content"": ""Well , we don ’ t have any pre-existing illnesses or conditions , so we should be fine .""}, {""role"": ""user"", ""content"": ""I wish our company or country provided us with healthcare .""}, {""role"": ""assistant"", ""content"": ""Not in a million years !""}]","question, inform, question, directive, commissive, inform, question, inform, inform, inform","no emotion, no emotion, surprise, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion"
2509,Ordinary Life,"[{""role"": ""user"", ""content"": ""What ’ s wrong with you ? Why are you scratching so much ?""}, {""role"": ""assistant"", ""content"": ""I feel itchy ! I can ’ t stand it anymore ! I think I may be coming down with something . I feel lightheaded and weak .""}, {""role"": ""user"", ""content"": ""Let me have a look . Whoa ! Get away from me !""}, {""role"": ""assistant"", ""content"": ""What ’ s wrong ?""}, {""role"": ""user"", ""content"": ""I think you have chicken pox ! You are contagious ! Get away ! Don ’ t breathe on me !""}, {""role"": ""assistant"", ""content"": ""Maybe it ’ s just a rash or an allergy ! We can ’ t be sure until I see a doctor .""}, {""role"": ""user"", ""content"": ""Well in the meantime you are a biohazard ! I didn ’ t get it when I was a kid and I ’ Ve heard that you can even die if you get it as an adult !""}, {""role"": ""assistant"", ""content"": ""Are you serious ? You always blow things out of proportion . In any case , I think I ’ ll go take an oatmeal bath .""}]","question, inform, directive, question, directive, commissive, inform, question","no emotion, anger, fear, surprise, fear, no emotion, fear, no emotion"
2510,Ordinary Life,"[{""role"": ""user"", ""content"": ""Hello sir , how may I help you ?""}, {""role"": ""assistant"", ""content"": ""I would like to buy some flowers , please . Something really nice .""}, {""role"": ""user"", ""content"": ""I see , may I ask what the occasion is ?""}, {""role"": ""assistant"", ""content"": ""It ’ s not really an occasion , it ’ s more like I ’ m sorry .""}, {""role"": ""user"", ""content"": ""Very well.This arrangement here is very popular among regretful husbands and boyfriends . It has a dozen long stem red roses with a couple of sunflowers and a single orchid that stands out . It includes a small teddy bear to achieve the effect of immediate forgiveness .""}, {""role"": ""assistant"", ""content"": ""I think I ’ m gonna need more than just a dozen red roses and a bear . What else do you recommend ?""}, {""role"": ""user"", ""content"": ""Mmm , well this is our “ I ’ m sorry I cheated on you ” package . Two dozen red roses lined with tulips , carnations and lilies . The fragrance and beauty of this flower arrangement is sure to make her forgive you .""}, {""role"": ""assistant"", ""content"": ""I don ’ t think that ’ s gonna cut it . I need something bigger and better !""}, {""role"": ""user"", ""content"": ""I ’ m sorry sir but , what exactly did you do ?""}, {""role"": ""assistant"", ""content"": ""Well , I may have accidentally insinuated that she is getting chubbier .""}, {""role"": ""user"", ""content"": ""Get out of my store , you jerk !""}]","question, directive, directive, commissive, inform, question, directive, commissive, question, inform, directive","no emotion, no emotion, no emotion, sadness, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, anger"
2515,Ordinary Life,"[{""role"": ""user"", ""content"": ""I ’ m hungry , let ’ s grab a bite to eat .""}, {""role"": ""assistant"", ""content"": ""Sure ! How about we go home and prepare a couple of sandwiches ?""}, {""role"": ""user"", ""content"": ""Nah ! Let ’ s go get a burger and fries .""}, {""role"": ""assistant"", ""content"": ""All you ever do is have unhealthy fast food Pizza , fries , burgers and hot dogs ! You have to start eating better !""}, {""role"": ""user"", ""content"": ""What are you talking about ? I have salads some times .""}, {""role"": ""assistant"", ""content"": ""Yeah right ! I ’ m serious ! You should also cut down on your sugar intake as well . You drink carbonated drinks that are high in fructose syrup ! It ’ s really not healthy !""}, {""role"": ""user"", ""content"": ""Fine ! I ’ ll start drinking and having home cooked meals that are low in fat . Are you happy now ?""}, {""role"": ""assistant"", ""content"": ""It ’ s a start , but I ’ ll be happy when I see you stick to your promise !""}]","directive, directive, directive, commissive, question, inform, question, inform","no emotion, happiness, no emotion, anger, no emotion, anger, no emotion, no emotion"
2516,Ordinary Life,"[{""role"": ""user"", ""content"": ""Hey , Joe ! Where have you been these past few days ?""}, {""role"": ""assistant"", ""content"": ""I ’ Ve been busy with a first aid course that I started about a week ago at the Red Cross .""}, {""role"": ""user"", ""content"": ""Cool ! I ’ Ve always wanted to do something like that ! Have you learned anything useful ?""}, {""role"": ""assistant"", ""content"": ""For sure ! I mean we ’ Ve learned how to apply pressure to stop bleeding , how to check for a pulse , and even how to apply CPR !""}, {""role"": ""user"", ""content"": ""Have you treated any real emergencies ?""}, {""role"": ""assistant"", ""content"": ""Well , they took us along with some paramedics . There was this guy who fell off his motorcycle and suffered a concussion as well as a couple of compound fractures . His wounds were pretty serious so they had to rush him to the hospital . It was intense !""}, {""role"": ""user"", ""content"": ""I can imagine ! I tend to faint when I see blood , so I think I won ’ t be taking up a course like that anytime soon !""}]","question, inform, question, inform, question, inform, inform","no emotion, no emotion, happiness, happiness, no emotion, no emotion, happiness"
2517,Ordinary Life,"[{""role"": ""user"", ""content"": ""Hello everyone , and welcome to our CPR for beginners course . First of all , does anyone know what CPR stands for ?""}, {""role"": ""assistant"", ""content"": ""Cardiopulmonary resuscitation !""}, {""role"": ""user"", ""content"": ""That ’ s right ! We apply CPR in the case of cardiac arrest or pulmonary arrest .""}, {""role"": ""assistant"", ""content"": ""What does that mean ?""}, {""role"": ""user"", ""content"": ""Well , basically if your heart stops pumping blood , or your lungs stop pumping air , then we need to get them going again ! That ’ s when we have to apply this procedure . Let ’ s begin ! I need a volunteer .""}, {""role"": ""assistant"", ""content"": ""Me ! Me !""}, {""role"": ""user"", ""content"": ""Alright , come here and lay flat on your back . Let ’ s suppose this young woman has stopped breathing . We must lift the person ’ s chin so that we clear a pathway for air to get into the lungs . Then we place our mouth over the other person ’ s mouth and blow air two or three times , like this .""}, {""role"": ""assistant"", ""content"": ""Wait , what are you doing ? I ’ m a married woman ! You can ’ t just try to kiss me like this !""}, {""role"": ""user"", ""content"": ""Madam I ’ m not trying to kiss you ! I am trying to demonstrate how to apply CPR in the case of an emergency .""}, {""role"": ""assistant"", ""content"": ""Well , OK . But no French kissing !""}, {""role"": ""user"", ""content"": ""As I was saying , we blow air through the mouth in this manner . Once this is done , we must try to get the heart going again . To do this , we place our hands over the person ’ s chest , and press down firmly two or three times .""}, {""role"": ""assistant"", ""content"": ""Wait , what are you doing ! You can ’ t just kiss me then go for second base !""}]","question, inform, inform, question, directive, commissive, directive, directive, commissive, directive, commissive, directive","no emotion, happiness, no emotion, no emotion, no emotion, happiness, no emotion, surprise, no emotion, no emotion, no emotion, surprise"
2519,Ordinary Life,"[{""role"": ""user"", ""content"": ""I need a pan .""}, {""role"": ""assistant"", ""content"": ""Okay . Do you have a particular size in mind ?""}, {""role"": ""user"", ""content"": ""Well , the bigger the better , I think .""}, {""role"": ""assistant"", ""content"": ""Look at this one . It's our biggest pan .""}, {""role"": ""user"", ""content"": ""Yes , that is big enough , but it's too heavy for me .""}, {""role"": ""assistant"", ""content"": ""Okay , we have the same thing in aluminum .""}, {""role"": ""user"", ""content"": ""Oh , this is nice and light . But it has an aluminum handle .""}, {""role"": ""assistant"", ""content"": ""Try this one . Same aluminum pan , but with a heat-resistant bamboo handle .""}, {""role"": ""user"", ""content"": ""Oh , yes . This is very nice . I'll take this one .""}, {""role"": ""assistant"", ""content"": ""That's a good choice . How do you want to pay for it ?""}, {""role"": ""user"", ""content"": ""Cash . Oh , I almost forgot . I need a lid , too .""}, {""role"": ""assistant"", ""content"": ""I'm so sorry . A lid comes with the pan . Here it is .""}]","directive, question, inform, directive, commissive, directive, commissive, directive, commissive, question, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness, no emotion, no emotion"
2520,Ordinary Life,"[{""role"": ""user"", ""content"": ""I'd like to purchase a pan .""}, {""role"": ""assistant"", ""content"": ""Is there any particular size that you want ?""}, {""role"": ""user"", ""content"": ""Well , I cook a lot of big meals .""}, {""role"": ""assistant"", ""content"": ""What do you think of this one ? It's a 16 \"" pan .""}, {""role"": ""user"", ""content"": ""Yes , that's the right size , but it's so heavy .""}, {""role"": ""assistant"", ""content"": ""Well , look at our aluminum pan . It's much lighter .""}, {""role"": ""user"", ""content"": ""Yes , this is very light . But the handle is also aluminum .""}, {""role"": ""assistant"", ""content"": ""No problem . Look at this one . Same pan , but with a lightweight wooden handle .""}, {""role"": ""user"", ""content"": ""Great . This is exactly what I was looking for . I'll buy it .""}, {""role"": ""assistant"", ""content"": ""I think you'll love this pan . Do you want to pay with cash ?""}, {""role"": ""user"", ""content"": ""Yes . Oh , wait a second , please . What about a lid ?""}, {""role"": ""assistant"", ""content"": ""I'm sorry . I forgot to show it to you . Here it is . It comes with the pan .""}]","directive, question, inform, directive, commissive, directive, commissive, directive, commissive, question, question, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness, no emotion, no emotion"
2521,Ordinary Life,"[{""role"": ""user"", ""content"": ""Welcome to Bill ’ s Fabric World . What can I do for you today ?""}, {""role"": ""assistant"", ""content"": ""I was wondering if you guys also tailor clothes ?""}, {""role"": ""user"", ""content"": ""Sure we do ! We have the best tailors in the country ! What is it that you need exactly ?""}, {""role"": ""assistant"", ""content"": ""Well , I ’ m looking to get a custom-made suit .""}, {""role"": ""user"", ""content"": ""Excellent ! We have the finest cashmeres at affordable prices.How about we get you measured ? Let ’ s start off by measuring the width of your shoulders . Now , let ’ s measure the length of your arms and this bit around your neck here .""}, {""role"": ""assistant"", ""content"": ""Can you make sure you leave a little extra space in the collar ? My neck gets easily irritated .""}, {""role"": ""user"", ""content"": ""No problem ! Now for your pants , let me just measure your waist and the inseam .""}, {""role"": ""assistant"", ""content"": ""You might also want to leave a little extra room in the waist area . I tend to gain a few pounds over the holidays .""}, {""role"": ""user"", ""content"": ""OK.Now you can pick your fabric and pattern design . Please follow me .""}]","question, directive, question, directive, commissive, directive, directive, commissive, directive","no emotion, no emotion, happiness, no emotion, happiness, no emotion, happiness, no emotion, no emotion"
2523,Ordinary Life,"[{""role"": ""user"", ""content"": ""Car trouble center . How may I help you ?""}, {""role"": ""assistant"", ""content"": ""My car won ’ t start ! Stupid old car !""}, {""role"": ""user"", ""content"": ""Hold on , before you kick your car let ’ s go through some possible problems .""}, {""role"": ""assistant"", ""content"": ""Fine .""}, {""role"": ""user"", ""content"": ""OK , first of all , can you turn the key in the ignition ?""}, {""role"": ""assistant"", ""content"": ""Yeah ! I am here with my friend and he thinks it may be the spark plug or the starter motor .""}, {""role"": ""user"", ""content"": ""Those are possible problems , but tell me , when you turn the key , do you hear the starter motor crank ?""}, {""role"": ""assistant"", ""content"": ""Yeah , it sounds like it usually does when I start the car , but nothing else happens . The engine won ’ t start . Should I maybe press the accelerator ?""}, {""role"": ""user"", ""content"": ""No . If you step on the accelerator pedal you can flood the carburetor and your car will never start .""}, {""role"": ""assistant"", ""content"": ""So what do you think it is ?""}, {""role"": ""user"", ""content"": ""I know this may seem like a silly question , but does your car have gasoline ?""}, {""role"": ""assistant"", ""content"": ""Umm . yeah ! Right ! I got the car started ! Thanks for your help ! I told you to fill the tank !""}]","question, directive, directive, commissive, question, inform, question, question, inform, question, question, inform","no emotion, anger, no emotion, no emotion, no emotion, anger, no emotion, no emotion, no emotion, no emotion, no emotion, happiness"
2524,Ordinary Life,"[{""role"": ""user"", ""content"": ""OK darling , I got some pizzas , potato chips , hot dogs and lots of cheese !""}, {""role"": ""assistant"", ""content"": ""Oh John , I thought we said we would start eating right ! Remember ? Our new healthy lifestyle ? That ’ s all junk food !""}, {""role"": ""user"", ""content"": ""Humph ! Right , so what did you get ?""}, {""role"": ""assistant"", ""content"": ""Well , healthy food , of course ! I got some whole wheat bread , skimmed milk , fresh fish and organic carrots ...""}, {""role"": ""user"", ""content"": ""Organic ? What ’ s organic ? Do we need organic carrots ... ?""}, {""role"": ""assistant"", ""content"": ""They were grown without using any chemicals that are harmful to our health . And yes , John , we need organic carrots ...""}, {""role"": ""user"", ""content"": ""Oh , so organic vegetables are the ‘ green ’ option , right ?""}, {""role"": ""assistant"", ""content"": ""Yup , better for the environment and better for us !""}, {""role"": ""user"", ""content"": ""Wait a minute , what's that ? ... Doughnuts ? They organic doughnuts , Kelly ?""}, {""role"": ""assistant"", ""content"": ""I like doughnuts .""}]","inform, directive, question, inform, question, inform, question, inform, question, inform","happiness, anger, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion"
2525,Ordinary Life,"[{""role"": ""user"", ""content"": ""How about this floor lamp ?""}, {""role"": ""assistant"", ""content"": ""Fine , just get it ! We have been shopping for furniture for five hours ! I ’ m so tired !""}, {""role"": ""user"", ""content"": ""We still need to find an armoire and a dresser .""}, {""role"": ""assistant"", ""content"": ""Fine ! I am going to go home and drop off this nightstand , coffee table and love seat while you look for the rest of the things .""}, {""role"": ""user"", ""content"": ""Great ! Pick me up in about an hour because I think I ’ ll also get a bean bag and a dining set .""}, {""role"": ""assistant"", ""content"": ""While you are at it can you pick out a nice recliner ? I really want one so I can watch TV .""}, {""role"": ""user"", ""content"": ""Recliner ? In my beautifully decorated living room ? I don ’ t think so !""}, {""role"": ""assistant"", ""content"": ""How about this floor lamp ?""}, {""role"": ""user"", ""content"": ""Fine , just get it ! We have been shopping for furniture for five hours ! I ’ m so tired !""}, {""role"": ""assistant"", ""content"": ""We still need to find an armoire and a dresser .""}, {""role"": ""user"", ""content"": ""Fine ! I am going to go home and drop off this nightstand , coffee table and love seat while you look for the rest of the things .""}, {""role"": ""assistant"", ""content"": ""Great ! Pick me up in about an hour because I think I ’ ll also get a bean bag and a dining set .""}, {""role"": ""user"", ""content"": ""While you are at it can you pick out a nice recliner ? I really want one so I can watch TV .""}, {""role"": ""assistant"", ""content"": ""Recliner ? In my beautifully decorated living room ? I don ’ t think so !""}]","directive, commissive, directive, commissive, directive, directive, commissive, directive, commissive, directive, commissive, directive, directive, commissive","no emotion, no emotion, no emotion, no emotion, happiness, no emotion, surprise, no emotion, anger, no emotion, anger, happiness, no emotion, surprise"
2526,Ordinary Life,"[{""role"": ""user"", ""content"": ""Honey , we are all out of wine and cheese . Do you mind running to the deli and picking up a few things ?""}, {""role"": ""assistant"", ""content"": ""Can ’ t it wait ? I ’ m watching the game right now !""}, {""role"": ""user"", ""content"": ""Your friends and family are coming over tonight and we still need to get a lot of things .""}, {""role"": ""assistant"", ""content"": ""Fine ! What do you need ?""}, {""role"": ""user"", ""content"": ""OK , pick up some cured meats to go with the wine . Maybe a pound of polish sausages , ham , liverwurst , salami and any other cold cuts that are on sale . I think I saw a promotion for pastrami . Also get some cole slaw and a jar of olives .""}, {""role"": ""assistant"", ""content"": ""Whoa wait a minute ! Isn ’ t that a bit too much ? I mean , how much is all of this going to cost !""}, {""role"": ""user"", ""content"": ""Never mind that . Get some dips as well . Get a jar of spinach and blue cheese dip and also some Tzatziki . If they have bean dip get that as well . Last but not least , get some pickles .""}, {""role"": ""assistant"", ""content"": ""Is that all , your majesty ?""}, {""role"": ""user"", ""content"": ""Very funny ! Get a move on ! People will be here any minute .""}]","directive, question, inform, question, directive, commissive, directive, question, directive","no emotion, anger, no emotion, no emotion, no emotion, surprise, no emotion, no emotion, no emotion"
2527,Ordinary Life,"[{""role"": ""user"", ""content"": ""Thank you for organizing this great baby shower for me ! I ’ Ve always been to baby showers but never actually had one held for me ! Let ’ s get started !""}, {""role"": ""assistant"", ""content"": ""Ok , let ’ s start opening some presents !""}, {""role"": ""user"", ""content"": ""Oh look ! What a great little bib for the baby ! This will definitely come in handy ! Oh wow , you also got me a stroller ! That ’ s so great ! Thank you !""}, {""role"": ""assistant"", ""content"": ""This next one is from Betty .""}, {""role"": ""user"", ""content"": ""A highchair and car seat ! Wow Betty , thank you so much ! I really appreciate it !""}, {""role"": ""assistant"", ""content"": ""One more from Carla .""}, {""role"": ""user"", ""content"": ""A playpen and crib ! Thanks Carla ! This is just what I needed !""}, {""role"": ""assistant"", ""content"": ""OK , that ’ s all of them . No more gifts . Now who wants to guess when the baby is due ?""}, {""role"": ""user"", ""content"": ""Umm . I think my water just broke ! Get me to a hospital !""}]","directive, commissive, inform, inform, inform, inform, inform, question, inform","happiness, happiness, happiness, no emotion, happiness, no emotion, happiness, no emotion, fear"
