Dialogue_ID,Topic,Text,Acts,Emotions
2140,Ordinary Life,"Hey , look out ! __eou__ What happened ? __eou__ You've just scratched my car . Oh , God , a paint was scratched off . __eou__ Where ? my car ? __eou__ No , mine ! __eou__ Thank goodness ! __eou__ I've just had it repainted . __eou__ That's terrible . __eou__ I am sorry to say this , sir , but you should've been more careful . __eou__ I apologize for that . But the space is too small . __eou__ What about the damage to my car ? What are you gonna do about that ? __eou__ Can we solve this later ? I am calling the insurance company . __eou__ OK . I gotta call mine too . __eou__","directive, question, inform, question, inform, inform, inform, inform, directive, commissive, question, directive, commissive","no emotion, no emotion, anger, surprise, anger, no emotion, no emotion, sadness, no emotion, sadness, no emotion, no emotion, no emotion"
2141,Ordinary Life,"I am sorry for damaging your car , sir . __eou__ Don't worry about it . Just leave it to the insurance companies . __eou__ The car park in this community is over crowded , isn't it ? __eou__ Yeah , more and more cars . People should try to take public transportation . __eou__ There aren't enough buses in this city , are there ? __eou__ Yeah , sometimes I really feel like writing a letter to the mayor . __eou__ That's too much of hassle . We just want a little bigger parking space . __eou__ Have you taken this to the property management , yet ? __eou__ No . but I'm gonna . You know , several months ago , I backed into red Honda when parking . __eou__ Where ? On the road ? __eou__ No , right here in the parking lot . It was parked right here in your space . The left rearview mirror was smashed . __eou__ Is the car owner a lady with deafening voice ? __eou__ Yes ! How do you know that ? __eou__ That's my wife ! __eou__","inform, inform, question, inform, question, inform, inform, question, inform, question, inform, question, question, inform","sadness, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, surprise, no emotion"
2143,Ordinary Life,"Excuse me , did you see a set of keys ? __eou__ What kind of keys ? __eou__ Five keys and a small foot ornament . __eou__ What a shame ! I didn't see them . __eou__ Well , can you help me look for it ? That's my first time here . __eou__ Sure . It's my pleasure . I'd like to help you look for the missing keys . __eou__ It's very kind of you . __eou__ It's not a big deal.Hey , I found them . __eou__ Oh , thank God ! I don't know how to thank you , guys . __eou__ You're welcome . __eou__","question, question, inform, inform, directive, commissive, inform, inform, inform, inform","no emotion, no emotion, no emotion, sadness, no emotion, happiness, happiness, happiness, happiness, happiness"
2147,Ordinary Life,"Look , Dad , many people are doing morning exercises here . __eou__ Yes . I used to come out here with my grandpa as child . __eou__ Really ? You were so happy then . __eou__ Aren't you happy now ? I hadn't seen the piano when I was a child . __eou__ Daddy , don't mention it . __eou__ The park is so beautiful . It is a good thing I have taken the camera . __eou__ Dad , I'd like to take a picture with the status . __eou__ All right . Give me a big smile . Are you ready ? Cheese ! __eou__ Daddy , we can't have a photo of the whole family . We can take one here . __eou__ Excuse me , sir . Could you take a photo for us ? Just press this button . __eou__","inform, inform, question, question, inform, inform, directive, question, inform, directive","no emotion, no emotion, surprise, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion"
2148,Ordinary Life,"Hey , look , there is a circus show over there . __eou__ I'm not in the mood . __eou__ It's the circus . __eou__ I don't want to sit there and watch them torturing the animals . __eou__ Oh , come on , they give them treat too.Oh , look , that little monkey is so cute . __eou__ Cute ? Hope so . __eou__ Oh , it is coming to us , come on , Ben , get a banana to it . __eou__ Me ? No way , keep him away from me , please . __eou__ Why are you acting so strange today ? __eou__ I've said that I've got a problem with the circus . I'm not kidding . __eou__ That's weird ! __eou__","inform, inform, inform, inform, inform, question, directive, commissive, question, inform, inform","no emotion, no emotion, no emotion, anger, no emotion, surprise, no emotion, anger, no emotion, anger, surprise"
2150,Ordinary Life,"Aunt Shirley , I heard the Yuan Miao Festival is the name for the festival . Why did it get its name ? __eou__ Well , the first lunar month is called Yuan-month , and in ancient times people called night Miao . And you know the festival is just in the middle of the month . __eou__ Oh , I see . I also heard today is the last day for the street fair . Can ’ t wait to sample all the snacks . __eou__ Sure . It ’ s indeed a culinary heaven which offers a wide range of delicious snacks to satisfy all tastes . Then , which one would you like ? __eou__ Can you recommend some must-try ? __eou__ OK . Let ’ s go over there . For the Lantern Festival , you should never omit the Yuanxiao . __eou__ What ’ s that ? It gets the name from the festival itself . That ’ s really funny ! __eou__ Actually , they are small dumpling balls made of glutinous rice flour . They are like Tangun . __eou__ Oh , I know Tangyuan . It ’ s a sweet snack , good for dessert . __eou__ Yes . And also , we can find Yuanxiao with both sweet and salty fillings . __eou__ I ’ d like to try the salty ones . Where does that strange smell come from ? __eou__ Oh , the smelly bean curd . My favorite ! __eou__","question, inform, inform, question, directive, commissive, question, inform, inform, inform, question, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, no emotion, happiness, no emotion, no emotion, happiness"
2151,Ordinary Life,"Daddy , I am so glad you come out with us . __eou__ Honey , I am sorry that I am too busy most of the time . __eou__ It doesn't matter . But I really haven't gone for a picnic for a long time . __eou__ What did you do last weekend ? __eou__ It was boring . Just did my homework and practiced the piano . __eou__ Did you play football with other children ? __eou__ Ahh , I was not available last Sunday . I was too busy almost as much as you . __eou__ Cool , we can take the football , shuttlecock and badminton racket to the park . __eou__ Hooray ! I can play football with daddy . Mom and sister can play badminton . __eou__ After that , we will have a picnic . __eou__ That's great . We can also take the dragon kite with us . After the picnic , we can fly it . __eou__ Okay , it sounds good . __eou__","inform, inform, inform, question, inform, question, inform, directive, commissive, inform, directive, commissive","happiness, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness, no emotion, happiness, happiness"
2152,Ordinary Life,"The tea smells good . What tea is it ? __eou__ It's a special green tea named Longing Tea from Zhejiang province . __eou__ What's special about it except its pleasant smell ? __eou__ You can see that it keeps the original color of the tea leaves very well . __eou__ They must have some special methods to do this during the process . __eou__ Probably . I love green tea . It's one of my daily necessities . __eou__ Then , do you have “ tea time ” every day ? I mean , do you drink tea at a settled time ? __eou__ Not really . But I really love to have after-meal tea . __eou__ What's the advantage about tea ? __eou__ There are a lot of them . In hot or warm days , tea helps to dispel the heat and brings on an instant cool with a feeling of relaxation . Moreover , the tea leaves contain a number of chemicals which are good for people's health . __eou__ Does that mean the stronger the better ? __eou__ No . Constant drinking of over-strong tea would do harm to people's health . So don't make your tea too strong . __eou__ Got it . What's the proper time for tea ? __eou__ It's fine for most time of the day . But don't have tea before bedtime . __eou__ Why ? __eou__ It will give rise to occasional insomnia . OK , let's enjoy the tea before it gets cold . __eou__","question, inform, question, inform, inform, inform, question, inform, question, inform, question, inform, question, inform, question, directive","happiness, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness"
2153,Ordinary Life,"There are many art craft items in this shop . I suggest you take your time , and you might find something you like . __eou__ That's what I am going to do . __eou__ If you have any problem , please come to me . __eou__ I surely will . How much is this wood carving ? __eou__ You are an expert on it . That wood carving is very rare . But I'm so sorry . that is not for sell . __eou__ That's OK . Is anything else recommended ? __eou__ Do you have any special request ? __eou__ I'd like to see some traditional arts . __eou__ So that means you are shopping for presents ? __eou__ Yes , I'm just here to pick out some special presents for my foreign friends . __eou__ Actually , I think the paper-cuts is OK , because it is easy to carry and foreign friends are also interested in it . They think that is a miracle . __eou__ Sounds good . I'll take paper-cut . __eou__ I have collected different kinds of paper-cuts all over the country , you can pick the one you like best . __eou__ You collect them yourself ? I think that you are just doing the wholesale . __eou__ As a matter of fact , I open the shop because I'm interested in the arts . I spent lots of time doing research on the folk art of our country . __eou__ Wow , you are the expert on it . __eou__","directive, commissive, directive, question, inform, question, question, inform, question, inform, directive, commissive, inform, question, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, happiness"
2156,Ordinary Life,"Wow ! They've got everything here . All the world's famous brands . Aunt Cindy , what is your favorite brand ? __eou__ I love all the fashionable things . But my favorite brand is Chanel . __eou__ Oh , that's a very expensive brand , but with good reason . __eou__ Yeah . Each style is specially designed by world's top designers . So they can always make you look amazing . __eou__ I see . Come here . The high heels here look really attractive . But I wonder whether it's comfortable to wear any of them ? __eou__ Not really , especially at the beginning , if you wear high heels all day long , your feet would hurt . But , no big deal . Women can always get used to that . __eou__ It's not a simple thing to be beautiful . __eou__ Sure . But everyone loves to be beautiful . Hey , do you think this pair of sunglasses matches the handbag well ? __eou__ Yeah , very tasteful . And with them , you look even more fashionable . Oh , there are so many French perfumers . Oops , perfumes for guys ? So strange ! __eou__ Come on . Fashion is not only for women . Men also share the equal right to chase fashion . It's the new fashion for men to wear perfumes , which is called cologne . __eou__ Oh , really , that's really something new . I'm afraid not everyone can accept it . __eou__ It takes time for that . But people's consuming attitudes are changing quickly . __eou__ That's true . Well , it's obvious that fashion is not a cheap thing . So , do you spend all your money on it ? __eou__ No . Fashion is just part of my life , which improves its quality . But also , I'm good at financing . I have a credit card , but I never overdraft . __eou__ How is it that you are my mom's sis ? You two are so different . She always picks up bargains and spends more than she earns . You do so much better than her . __eou__ I have to say that's just the result of difference of our consumptive habits . __eou__","question, inform, inform, inform, question, inform, inform, question, question, inform, inform, inform, question, inform, question, inform","no emotion, happiness, no emotion, happiness, no emotion, no emotion, no emotion, no emotion, surprise, no emotion, surprise, no emotion, no emotion, no emotion, no emotion, no emotion"
2158,Ordinary Life,"What can I do for you ? __eou__ I've got a suit , a woolen sweater and a white shirt to wash . __eou__ OK , let me see . This white shirt can be washed in water with hands , but this suit and the woolen sweater should be dry-cleaned . __eou__ That's OK . But that must be costly . __eou__ Yes , the cost for dry-cleaning is three times of that for ordinary laundering . But for suits and sweaters , you can only take them to the dry cleaners ' . __eou__ Oh , my wife just threw them into the washer . __eou__ Did it ever shrink or fade ? Generally speaking , the dark-colored clothes always fade away gradually . __eou__ I see . The woolen sweater shrunk in the wash . __eou__ Never mind . You can leave them to me . __eou__ Oh , thanks . You know , I know little about this , so please tell me something that I should pay more attention to when I do washing . __eou__ It's very simple . Divide the clothes by the colors , and wash them in cold water . If you've got some special stains on them like sugar , coffee or something else please let the dry cleaner know . __eou__ I'll keep that in mind . And how much is it altogether ? __eou__ That will be 80 Yuan altogether . Here is your invoice . __eou__","question, directive, commissive, inform, inform, inform, question, inform, directive, directive, commissive, question, inform","no emotion, no emotion, no emotion, no emotion, no emotion, surprise, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion"
2159,Ordinary Life,"Hi , I come to pick up my laundry . This is the invoice . __eou__ Here you are . We've ironed them for you already . Please check and see if there is any damage . __eou__ I'm afraid that a button is missing . __eou__ I'm terribly sorry . You know we are so busy today and we forget to sew the button back on . Please wait a moment . It will be ready soon . __eou__ OK , please . __eou__ Would you like to have a look ? Is it to your satisfaction ? __eou__ Well , oh my God , there is another problem , I'm afraid . There is still a stain on the shirt . __eou__ It doesn't seem like that . Sorry , sir , we've tried everything , but we're not able to get it off the shirt . It was from the sugar I think . __eou__ It's been several days now , I am not sure . __eou__ Yes , the sugar was burnt during the dry-cleaning process . And there you go . __eou__ Oh , that's so bad . I know little about that . Is there a remedy for it ? __eou__ I am awfully sorry . Please tell us about the stains before the dry-cleaning next time . __eou__ OK , I will . __eou__ This is a membership card . You can get a 20 percent discount next time . __eou__ Thanks a lot . __eou__ Hope to see you again . We will provide the best service . __eou__","directive, directive, commissive, directive, commissive, directive, commissive, inform, inform, inform, question, directive, commissive, inform, inform, inform","no emotion, no emotion, no emotion, sadness, no emotion, no emotion, surprise, sadness, no emotion, no emotion, no emotion, sadness, no emotion, no emotion, happiness, happiness"
2160,Ordinary Life,"We came too early . There're still three hours before the performance starts . __eou__ I know . Sorry , I shouldn't have rushed you , but I just couldn't stay at home and wait . __eou__ Never mind . What about taking a look around the theater ? __eou__ Why not ? I'd love to do that . __eou__ Here we go . There is a museum of the Beijing Opera art . __eou__ Wow . Look at this . So delicate and beautiful . Did ancient Chinese people really wear them ? __eou__ Not really . They are just opera costumes . Do you like the embroidery ? __eou__ I surely do . They must have had advanced machine in ancient China to do that . __eou__ No , no , no . They are all handmade , girl . You know , the ancient Chinese women were supposed to be good at needlework . __eou__ Unbelievable ! I could never do that . __eou__","inform, inform, directive, commissive, inform, question, question, inform, inform, inform","no emotion, sadness, no emotion, happiness, no emotion, happiness, no emotion, no emotion, no emotion, surprise"
2162,Ordinary Life,"Wow , this is amazing . I'm glad we've come here . So cool . __eou__ I always love skiing . You know , it's a cool game for cool people . Stay with me and you will be cool , too . __eou__ Hey , look over there . It seems that there is something interesting going on . Let's go and have a look . __eou__ Sure . It's probably the skiing show . Adam told me there were many skiing clubs whose members put on shows to attract more visitors . __eou__ See that . It's so dangerous . My mom would never allow me to do that . __eou__ Hey , don't be so pathetic . It's a maximal sports show . What else can they do to attract more visitors ? Stop all this fuss and enjoy the show . __eou__ You are right . But what if the avalanche happened ? __eou__ They are all very experienced and great skiers . So I suppose the chance for them to be buried by an avalanche is slim . __eou__ Anyway , the show is breathtaking . By the way , where did they get so much snow in here ? __eou__ Don't you know that ? Are you kidding me ? __eou__ Hey , not everyone is as lucky as you to have a father who is a scientist . __eou__ Sorry . Well , they have the most advanced snowmaking machine . __eou__ Do you think the snowmaking may cause pollution ? __eou__ It's possible . But the boss here said they were doing whatever they can . __eou__ It's a good thing . OK , let's go skiing . __eou__ Here we go . __eou__","inform, directive, directive, commissive, directive, directive, question, inform, question, question, inform, inform, question, inform, directive, commissive","happiness, happiness, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, surprise, no emotion, no emotion, no emotion, no emotion, happiness, no emotion"
2164,Ordinary Life,"I love breathing fresh air in the suburb places , while sitting in the morning sunshine . __eou__ I can't agree more , honey . We need to get away from work from time to time . __eou__ Yeah , just return to nature and feel the thrills of its beauty . __eou__ We are nor alone here . So many other families ! __eou__ Sure . The sunny days of spring are ideal for outdoor gatherings . __eou__ Well , let's go over there and put a blanket on the lawn . __eou__ OK , you go back to our car and fetch the picnic stuff . __eou__ Oh , so heavy ! What have you put in here ? __eou__ Nothing special . Food , drinks , and Daniel's kangaroo toys . __eou__ Toys ? Why do we need toys for a picnic ? __eou__ He said he would like to be our tour director and he lined up many things to do . __eou__ Sure , then . May it really be a day of enjoyment . Other than that , we can also teach him something about science . __eou__ Science ? What are you talking about ? Forget about your science , OK ? It's a picnic ! __eou__ I mean we can inspire him for a deeper understanding of the natural world . __eou__ I can't agree on that . Just cut it out . Give him a break and don't spoil the day . __eou__ Well , OK . you are always right . __eou__","inform, directive, commissive, inform, inform, directive, commissive, question, inform, question, inform, directive, directive, commissive, directive, commissive","happiness, happiness, happiness, happiness, happiness, no emotion, no emotion, surprise, no emotion, surprise, no emotion, no emotion, surprise, no emotion, no emotion, no emotion"
2165,Ordinary Life,"What can I do for you , young man ? __eou__ I need to rent three pairs of skates for the morning . __eou__ What sizes do you need ? __eou__ One pair of 37 , and two pairs of 21 . One for me , and the other two for two kids . __eou__ Here you are . And here are three crash helmets . __eou__ Thanks . Well , those two kids are beginners . What should I do about their safety ? __eou__ Well , there are a lot to do , but nothing to worry about . First , make sure they don't go far from the railings . __eou__ Oh , yeah , maybe I should ask them just to walk along the railings . __eou__ That's a good idea . And remind them to be slow at the beginning , not to run into the railings . __eou__ OK . Anything else ? __eou__ Never go to the center of the lake . The ice there is too thin to skate on . __eou__ Got it . Thanks for reminding me . And , are there any intensive training courses ? __eou__","question, directive, question, inform, commissive, question, directive, commissive, directive, question, directive, commissive","no emotion, no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, happiness"
2166,Ordinary Life,"I just got a call from Mrs . Fitzgerald . See what your Willie has just done . __eou__ My Willie ? Why has he suddenly become my Willie ? __eou__ Because he takes after you , he's got into trouble again . __eou__ What did he do this time ? I remember last time he was painting her fence to repay her for breaking it , and he accidentally painted her cat . __eou__ That was last time . This time it's worse . __eou__ Ok , tell me . __eou__ Well , he was playing baseball with some friends ... __eou__ And the ball went through her window ? That's not as bad as last time . __eou__ True , but that's not all . The ball went through the window and hit the vase she has in her front window ... __eou__ Ok , that's probably expensive , but not that bad . __eou__ And then , ricocheted off her fish bowl . Mrs . Fitzgerald at the last minute dived and saved her fish . __eou__ At least the fish were saved . If that's the end of the damages , then everything isn't that bad . __eou__ Stop interrupting me . Finally , the ball flew through the air and knocked out Willie's school principal , who was having a cup of coffee with Mrs . Fitzgerald . __eou__ Hmm , that is bad . __eou__","inform, question, inform, question, inform, directive, commissive, question, inform, inform, inform, inform, inform, inform","no emotion, surprise, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, sadness"
2167,Ordinary Life,"Excuse me , Sir , do you know what time it is ? __eou__ Oh , it ’ s almost eleven twenty . __eou__ Thank you . __eou__ You ’ re welcome . The rain is quite heavy , isn ’ t it ? __eou__ Yeah . I was in a hurry and I forgot my umbrella today . __eou__ I have one . We could share it . Which way are you going ? __eou__ Oh , that ’ s very kind of you . I am going to the Garden Hotel . __eou__ I am going there , too . We can walk together . __eou__ Sure . __eou__","directive, commissive, inform, inform, inform, question, inform, directive, commissive","no emotion, no emotion, happiness, happiness, no emotion, no emotion, happiness, no emotion, no emotion"
2170,Ordinary Life,"Grandpa , this seat is for you , for you are the eldest person here and also it's your birthday today . __eou__ Oh , you are such a good child today . Come here . Sit next to me . __eou__ I'm afraid I can't do that . It's Dad's seat , according to the book about table manners . __eou__ Oh , you read ? Very good . Then , I think we should do something different today . I'll give you some privilege . __eou__ Great . That's my favorite seat which will be the nearest to the birthday cake . __eou__ Now I see what you read the book for . But it's fine . I'll give you the lion's share . __eou__ Why do they serve up the noodles first ? I don't like it . Where is the cake ? __eou__ This is not common noodles . They're “ long-lived ” noodles.it ' s an old Chinese tradition to eat.long - lived noodle on birthday . __eou__ I see . Then I'll try it . __eou__","inform, directive, commissive, directive, commissive, directive, question, inform, inform","no emotion, happiness, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion"
2172,Ordinary Life,"Grandpa , this restaurant looks really old ! How long ago was it built ? __eou__ I'm not sure when it started . But I know it's older than me . As a young boy , I used to eat here a lot . __eou__ Oh , it's interesting . Dad told me you brought him here when he was young , too . Now , it's my turn . __eou__ Yeah . We are the VIP customers here . So , what do you want to eat today ? __eou__ I'd like to eat a hamburger and a bottle of coca-cola . __eou__ Hey , kid , that's wrong . It's a Chinese restaurant . Let's eat something traditional . __eou__ Then there is nothing particular I'd like to eat . Grandpa , what's your favorite here ? __eou__ The Chinese rice pudding . Your father loves it , too . You wanna try ? __eou__ Sure . Is it sweet ? __eou__ Yes , of course . But I think they can make you a salty one , too . __eou__ Great , I want it spicy . __eou__ Come on . Don's go too far . __eou__ I want it to be special . And you know that I always like hot food . __eou__ OK then . We shall ask them to put some red chilli on it . __eou__","question, inform, inform, question, inform, directive, question, question, question, inform, inform, directive, commissive, inform","no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion"
2175,Ordinary Life,"Sis , why did you ask me to come to this bargain market ? It's so crowded , and you can't find anything that you really want . __eou__ You just don't get it . Looking for bargains can be really interesting . __eou__ Are you serious ? How can that be ? __eou__ Bargaining is a game , or even a battle . You feel like a winner when you get a good price . __eou__ Come on . You know , you can never really win . The salesperson never loses . They make their living out of it . __eou__ That's true . But I just love it . Come here ! __eou__ Oh , this silk carpet is really beautiful . Look at the pattern , and how delicate it is ! __eou__ You do have great taste . That's the most expensive stuff here . __eou__ Really ? Oh , this one . I like the cloisonn vase . __eou__ Are you kidding me ? I bought a same one last week . It's surprising that there is something we both like . Well , what do you think of these ceramic cups ? __eou__ Come on . They look so cheap . Something else , please . __eou__ What about this picture ? I think Benjamin would like it . __eou__ Don't underestimate his taste . I don't think he'd like it . __eou__ Don't be so sure . He loves the vase I bought here last week . __eou__ Yeah . Well , anyway , it's up to you . But I can tell that you come here often . __eou__ Absolutely . That's why I can always get a good price . __eou__","question, inform, question, inform, inform, directive, commissive, inform, question, directive, commissive, directive, commissive, inform, inform, inform","surprise, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness, happiness, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, happiness"
2176,Ordinary Life,"Hey , Terry , have all the players got here ? __eou__ Yeah , most of them have arrived . Don't worry . There are still 20 minutes left before the match . __eou__ OK . By the way , the stadium is terrific . __eou__ Of course . It's a newly-built one . __eou__ We are lucky to play in a new stadium . __eou__ Hurry up , Benjamin ! Pass the ball to me . I'm good at shooting . __eou__ Look out . Catch the ball . You should dunk besides the three-point line . __eou__ Oh , God ! I didn't touch anybody . How can I commit a foul ? __eou__ Just calm down . It's just a turnover . Make up your mind and we can shoot well . __eou__ Yes , I got it . Come on , Benjamin , don't let him get into the paint . __eou__ No problem , I once played a 2 - meter-high player successfully . __eou__ Really ? You must be ... __eou__ But that game he dunked over me for 13 times . __eou__ That's interesting . Let's hurry up , we should beat them in the first half . __eou__ Oh , look , what's happened to Jack ? He sat down . __eou__ He may be injured . Yes , come on , call the team doctor . __eou__","question, inform, inform, inform, inform, directive, commissive, question, directive, directive, commissive, question, inform, directive, question, directive","no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, surprise, no emotion, no emotion, no emotion, surprise, no emotion, no emotion, no emotion, no emotion"
2180,Ordinary Life,"What did the boss say ? __eou__ He asked me if I'd like to be a newspaper salesperson ? __eou__ You are still student so I don't think you should have time for that . __eou__ Don't worry about that . He said I can do that at spare time . Anyway , it's just a part-time job . __eou__ Okay , then . What kind of newspaper he wants you to sell ? __eou__ It's a weekly newspaper named Olympic English . So I need to be here only on Sunday . __eou__ Sounds interesting . Especially that we are Olympic Volunteers . __eou__ That's exactly what I am thinking about , And also it's a good way to get social experiences . __eou__ And a good way to get some pocket money . __eou__ Let's do it together . __eou__ I'll say yes . Wait a minute . I need an IC card . __eou__ For what ? You have a telephone at home , don't you ? __eou__ Yes , but I don't want my Mom to tap my phone when I call Clive . __eou__","question, inform, inform, inform, question, inform, inform, inform, inform, directive, commissive, question, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness, happiness, no emotion, no emotion, no emotion, no emotion"
2182,Ordinary Life,"Excuse me ? Can you do me a favor , please ? __eou__ It's my pleasure , what can I do for you ? __eou__ I'm from England and I'm trying to make a travel plan for today . __eou__ What brings you here ? __eou__ I'm a flight attendant and I'm here on vacation . __eou__ Where are you staying ? __eou__ I live in the Holiday Inn Lido Hotel . __eou__ Oh , it's not very far . And as far as I know it is a fancy place . __eou__ Yes , it is . Do you know where I can get a town map ? __eou__ We sell them , right here . __eou__ Great , do you have any for foreigners ? I mean English version ? __eou__","directive, question, inform, question, inform, question, inform, inform, question, inform, question","no emotion, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness"
2185,Ordinary Life,"That was really a nightmare ! __eou__ Honey , what's up ? __eou__ I was stuck between 15th and 16th floors in the elevator . __eou__ Oh , really ? I know that telephone signal must have been shielded in the elevator shaft , so what did you do then ? __eou__ I pressed the emergency button ! And then I stayed in the elevator waiting for the rescue . __eou__ Did you panic at the time ? __eou__ A little bit , but I know that the elevator isn't enclosed . at least I wouldn't be smothered there . __eou__ Was there anyone else with you ? __eou__ Of course , there are 6 other people in the elevator ; they were so scared that someone even started crying . __eou__ So you mean that you were the only brave one there ? __eou__ Yes . I have to call the property management . __eou__ For what ? Complaining about what happened in the elevator ? __eou__ Yes . They should check the elevator regularly . I have to give them something to remember about , and they should also equip fire extinguishers in the building . __eou__ That was just an accident . you are worried too much about it . I think the property management will check the elevator and improve their service from now on . __eou__ I know what you mean , but I'd better remind them again , and also remind them to repair the button in the elevator for the disabled people . That has brought the disabled people lots of inconvenience . __eou__","inform, question, inform, question, inform, question, inform, question, inform, question, inform, question, inform, inform, inform","fear, no emotion, fear, surprise, fear, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion"
2186,Ordinary Life,"Hi , my name is Ted , what's yours ? __eou__ What ? __eou__ I said , I'm Ted , who are you ? __eou__ Huh ? Oh , my name is Laura . __eou__ Do you come here often , Laura ? __eou__ Huh ? I can't hear you , the music's too loud . __eou__ Let's go outside and talk . So Laura , do you come here often ? __eou__ Hold on , my ears are still ringing from the music ... what was it you asked me ? __eou__ I asked if you come here often . __eou__ Sometimes , usually once every few weeks . Do you ? __eou__ No , this is my first time here . __eou__ I usually come with a group of friends . We dance a little , have a few drinks , and just have a good time . __eou__ Yeah , that's why I'm here . My friends dragged me here , because they think I spend too much time studying . __eou__ That's good . It's good to hit the books , but you need to get out once in a while . __eou__ I guess so . But the music is too loud . I don't mind getting out and meeting people , but next time I'll do it in a park . __eou__","question, question, question, inform, question, inform, question, question, inform, question, inform, inform, inform, directive, commissive","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, no emotion, happiness, no emotion"
2193,Ordinary Life,"I can ’ t believe the cost of apartments in New York City . __eou__ Oh , you didn ’ t know that apartments here are considered valuable , even if they are small and crowded ? __eou__ Of course I had heard about that , but now I know how expensive it is to rent a place here . __eou__ I don ’ t mind paying high rent to live in New York . __eou__ Why ? You pay so much for such a tiny space to live . __eou__ Yeah , but so what ! I ’ m proud to live in the world ’ s most exciting city . And , the salaries here are the highest in the nation , too . __eou__","inform, question, inform, inform, question, inform","surprise, no emotion, no emotion, no emotion, surprise, no emotion"
2197,Ordinary Life,"This house is very nice for me , but I can ’ t afford it in a lump sum . __eou__ Don ’ t worry , you can pay in an installment , that is to say , you don ’ t have to pay the whole amount of money at once . __eou__ That ’ s good . Will you tell me the details ? __eou__ Certainly , you need to pay a deposit at first , and you will pay the rest monthly . __eou__ How long will it take ? __eou__ It depends . __eou__ I need to talk it over with my wife . __eou__ Certainly . __eou__","inform, inform, directive, commissive, question, inform, directive, commissive","sadness, no emotion, happiness, no emotion, no emotion, no emotion, no emotion, no emotion"
2200,Ordinary Life,"Hello , Matt ! __eou__ Hello , Todd ! __eou__ Matt , I'm going to ask you some questions about pet.First question , do you have a pet ? __eou__ Yes , in fact , my mom's house we have three , three pets . two dogs and a cat . My family actually raises dogs for helping blind people . __eou__ Wow , like how do they train the dogs ? __eou__ How do they train the dogs ? Well , I mean , it's a long process , right ... we get them when they're puppies ... and so we train them basic ... you know , sit , come ... really basic things ... then , after they're about two year old , they go a different training school . __eou__ Well , how many dogs do they train at a time ? __eou__ Oh , just one ! We have our own dog , and then we have a dog that we have that we are training . __eou__ Do you ever see the dogs you trained , like out on the street , or anything ? __eou__ Sometimes we'll see them , they'll have like sort of conventions of reunions of the pets so , yeah , you get to see them once in awhile . __eou__ Oh , wow , that's cool . Um , why do people keep pets ? __eou__ I guess the most important thing is companionship , right ! So there is always somebody there for you that will like you no matter what . __eou__ Yeah , that's true . OK , besides cats , dogs , and fish , what are some other pets people keep ? __eou__ Well , I guess if you are Sigrid and Roy you can keep a tiger or lion . I guess all types of things don't they . __eou__","inform, inform, question, inform, question, inform, question, inform, question, inform, question, inform, question, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness, no emotion, no emotion"
2204,Ordinary Life,"Hi , Jone , how are you ? __eou__ Terrible . __eou__ What's wrong ? __eou__ Someone robbed my apartment last week . The robber took $ 550 . __eou__ Oh , no ! Did you call the police ? __eou__ No . __eou__ Why not ? __eou__ My English isn't very good . I didn't know what to say to them . __eou__ I'm going to give you some advice , Jone.If this happens again , you should call the police immediately . You should try to remember everything . You should explain everything to the police . __eou__","question, inform, question, inform, question, inform, question, inform, directive","no emotion, sadness, no emotion, no emotion, surprise, no emotion, no emotion, no emotion, no emotion"
